text,sentiment,topic,intent,binary
اس اسکول میں تعلیم کا معیار بہت بلند ہے۔,positive,education,Feedback,relevant
کیا اس سال میٹرک کے امتحانات جلد ہونگے۔,neutral,education,Inquiry,relevant
یونیورسٹی میں داخلے کے لیے درخواست دینا چاہتا ہوں۔,neutral,education,Request,relevant
اساتذہ طلباء کی اچھی تربیت کرتے ہیں۔,positive,education,Feedback,relevant
یہ نصابی کتاب بہت مشکل ہے۔,negative,education,Complaint,relevant
کیا یہ سکول طالبات کے لیے بہترین ہے؟,neutral,education,Inquiry,relevant
میں نے استاد کو ان کی محنت پر شکریہ ادا کیا۔,positive,education,Feedback,relevant
اس کالج کے نتائج بہت مایوس کن ہیں۔,negative,education,Complaint,relevant
میں آن لائن کلاسز شروع کرنے کی درخواست کرتا ہوں۔,neutral,education,Request,relevant
یہ ادارہ طلباء کی مستقبل سنوارنے میں اہم کردار ادا کرتا ہے۔,positive,education,Feedback,relevant
بڑھتی ہوئی آبادی ملک کے لیے ایک بڑا چیلنج ہے۔,negative,population,Feedback,relevant
کیا آبادی کے کنٹرول کے لیے کوئی نئے اقدامات کیے جا رہے ہیں؟,neutral,population,Inquiry,relevant
ہم آبادی میں اضافے کو روکنے کی اپیل کرتے ہیں۔,negative,population,Request,relevant
حکومت نے آبادی کے کنٹرول کے لیے مثبت اقدامات کیے ہیں۔,positive,population,Feedback,relevant
آبادی کا کنٹرول معاشرے کی ترقی کے لیے ضروری ہے۔,positive,population,Feedback,relevant
کیا ہم ایک بچت منصوبے کا آغاز کر سکتے ہیں؟,neutral,population,Request,relevant
یہ سماجی مسئلہ بہت تشویشناک ہے۔,negative,population,Feedback,relevant
کیا آپ آبادی کے اعدادوشمار فراہم کر سکتے ہیں؟,neutral,population,Inquiry,relevant
اس پالیسی کی وجہ سے آبادی میں استحکام آیا ہے۔,positive,population,Feedback,relevant
آبادی کی منصوبہ بندی بہت اہم ہے۔,neutral,population,Feedback,relevant
یہ فلم بہت دلچسپ ہے۔,positive,other,Feedback,irrelevant
میں نیا موبائل خریدنا چاہتا ہوں۔,neutral,other,Request,irrelevant
آج موسم کیسا رہے گا؟,neutral,other,Inquiry,irrelevant
وہ گانا مجھے بہت پسند آیا۔,positive,other,Feedback,irrelevant
مجھے اس کتاب میں دلچسپی نہیں ہے۔,negative,other,Feedback,irrelevant
کیا آپ مجھے وقت بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
یہ کار بہت تیز چلتی ہے۔,positive,other,Feedback,irrelevant
مجھے یہ خبر اچھی نہیں لگی۔,negative,other,Feedback,irrelevant
کیا آپ کسی سے رابطہ کر سکتے ہیں؟,neutral,other,Request,irrelevant
اس ریستوران کا کھانا بہت لذیذ ہے۔,positive,other,Feedback,irrelevant
طبی معائنے کے لیے آج ہسپتال کا دورہ کرنے کا تجربہ بہترین تھا۔,positive,health,Feedback,relevant
میں اس دوا کے مضر اثرات سے بہت پریشان ہوں، کیا کوئی متبادل ہے؟,negative,health,Complaint,relevant
دائمی بیماریوں کے علاج کے بارے میں مزید معلومات فراہم کی جائیں۔,neutral,health,Request,relevant
اس اسپتال میں صفائی ستھرائی کا معیار تسلی بخش نہیں ہے۔,negative,health,Complaint,relevant
کیا آپ مجھے قریب ترین فارمیسی کا پتہ بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
نوزائیدہ بچوں کی صحت کی دیکھ بھال کے بارے میں ایک ورکشاپ کا اہتمام کیا گیا ہے۔,positive,health,Feedback,relevant
حکومتی ہسپتالوں میں سہولیات کی کمی ایک بڑا مسئلہ ہے۔,negative,health,Complaint,relevant
میں اپنے بچے کے حفاظتی ٹیکوں کے بارے میں پوچھنا چاہتا ہوں۔,neutral,health,Inquiry,relevant
ڈاکٹر صاحب نے بہت دھیان سے میرا معائنہ کیا اور اچھے مشورے دیے۔,positive,health,Feedback,relevant
اس علاقے میں وبائی امراض کے پھیلنے کا خدشہ ہے۔,negative,health,Inquiry,relevant
اسکول میں نئے نصاب کو لاگو کرنے کے بارے میں کیا فیصلہ ہوا ہے؟,neutral,education,Inquiry,relevant
مجھے اس یونیورسٹی میں داخلے کے طریقہ کار کو سمجھنے میں مدد چاہیے۔,neutral,education,Request,relevant
یہ اساتذہ کی جانب سے غیر نصابی سرگرمیوں میں طالب علموں کی حوصلہ افزائی قابل ستائش ہے۔,positive,education,Feedback,relevant
تعلیمی نظام میں اصلاحات کی فوری ضرورت ہے۔,negative,education,Complaint,relevant
کیا آپ مجھے آن لائن کورسز کے بارے میں تفصیلات فراہم کر سکتے ہیں؟,neutral,education,Inquiry,relevant
اس اسکول کے نتائج بہت حوصلہ افزا ہیں، اور سہولیات بھی بہترین ہیں۔,positive,education,Feedback,relevant
طلباء کو امتحانات کے دوران نقل کرنے کی اجازت نہیں ہونی چاہئے۔,negative,education,Complaint,relevant
میں اس کالج میں داخلے کے لیے درخواست جمع کروانا چاہتا ہوں۔,neutral,education,Request,relevant
اساتذہ کی طرف سے طالب علموں پر سختی انہیں مایوس کر رہی ہے۔,negative,education,Complaint,relevant
یہ اکیڈمی نے بہت عمدہ کارکردگی کا مظاہرہ کیا ہے۔,positive,education,Feedback,relevant
ملک میں بڑھتی ہوئی آبادی کا معیشت پر گہرا اثر پڑ رہا ہے۔,neutral,population,Feedback,relevant
کیا حکومتی پالیسیاں آبادی کے کنٹرول میں مؤثر ثابت ہو رہی ہیں؟,neutral,population,Inquiry,relevant
مشرقی علاقوں میں آبادی کا ارتکاز بہت زیادہ ہے۔,negative,population,Complaint,relevant
پسماندہ علاقوں میں آبادی کی شرح پر قابو پانے کے لیے اقدامات اٹھائے جائیں۔,neutral,population,Request,relevant
آبادی کے بڑھتے ہوئے دباؤ کے باعث قدرتی وسائل پر منفی اثرات مرتب ہو رہے ہیں۔,negative,population,Complaint,relevant
اس سروے کے نتائج آبادی کے رجحانات کے بارے میں مفید معلومات فراہم کرتے ہیں۔,positive,population,Feedback,relevant
شہری علاقوں میں مکانات کی قلت ایک سنگین مسئلہ بن گئی ہے۔,negative,population,Complaint,relevant
آبادی کی منصوبہ بندی کے حوالے سے آپ کی کیا رائے ہے؟,neutral,population,Inquiry,relevant
آبادی کے تناسب کے مطابق روزگار کے مواقع پیدا کرنے کی ضرورت ہے۔,neutral,population,Request,relevant
آبادی کے کنٹرول کے لیے بہتر منصوبہ بندی بہت اہم ہے۔,positive,population,Feedback,relevant
میں نے کل رات ایک بہت ہی دلچسپ فلم دیکھی۔,positive,other,Feedback,irrelevant
یہ کتاب بہت اچھی لکھی گئی ہے، میں سب کو پڑھنے کا مشورہ دوں گا۔,positive,other,Feedback,irrelevant
شہر میں ٹریفک کا نظام انتہائی خراب ہے۔,negative,other,Complaint,irrelevant
آج موسم کیسا رہے گا؟,neutral,other,Inquiry,irrelevant
کیا آپ مجھے قریب ترین ریستوران کا پتہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
پرانے شہر کی عمارتیں دیکھنے کے لائق ہیں۔,positive,other,Feedback,irrelevant
مجھے اس آرٹسٹ کے کام سے کوئی خاص دلچسپی نہیں ہے۔,negative,other,Feedback,irrelevant
میں ایک نئی گاڑی خریدنا چاہتا ہوں، کیا آپ کوئی مشورہ دے سکتے ہیں؟,neutral,other,Request,irrelevant
یہ ہوٹل کا کمرہ بہت صاف ستھرا اور پرسکون ہے۔,positive,other,Feedback,irrelevant
سڑکوں کی خستہ حالی کی وجہ سے سفر مشکل ہو رہا ہے۔,negative,other,Complaint,irrelevant
مجھے بخار اور کھانسی ہے، کیا یہ وائرس کی علامت ہو سکتی ہے؟,neutral,health,Inquiry,relevant
میرا بیٹا بیمار ہے اور اسے ڈاکٹر سے ملوانا ہے، کیا مجھے فوری اپائنٹمنٹ مل سکتی ہے؟,neutral,health,Request,relevant
اس ہسپتال میں علاج بہت مہنگا ہے، غریب مریضوں کے لیے کوئی رعایت ہونی چاہیے۔,negative,health,Complaint,relevant
آج کل کے موسم میں صحت کا خیال رکھنا بہت ضروری ہے۔,positive,health,Feedback,relevant
یہ دوا واقعی مؤثر ہے، میری صحت میں تیزی سے بہتری آئی ہے۔,positive,health,Feedback,relevant
آج کل ہر شخص کو صحت کے متعلق احتیاط کرنی چاہیے۔,neutral,health,Feedback,relevant
حکومت کو صحت کے شعبے میں مزید سرمایہ کاری کرنی چاہیے تاکہ عوام کو بہتر سہولیات میسر آ سکیں۔,positive,health,Request,relevant
اس دوا کی وجہ سے مجھے بہت زیادہ الرجی ہو گئی ہے، یہ تو بالکل بیکار ہے۔,negative,health,Feedback,relevant
کیا آپ مجھے قریب ترین فارمیسی کے بارے میں بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
میں صحت کی سہولیات کی بہتری کے لیے حکومت کی کوششوں کو سراہتا ہوں۔,positive,health,Feedback,relevant
اسکول کا نصاب بہت پرانا ہے، اسے جدید بنانے کی ضرورت ہے۔,negative,education,Complaint,relevant
کیا مجھے اس کورس میں داخلے کے لیے کوئی اسکالرشپ مل سکتی ہے؟,neutral,education,Inquiry,relevant
ہمیں اسکول میں اضافی کلاسز کی ضرورت ہے تاکہ ہم امتحان کی اچھی تیاری کر سکیں۔,request,education,Request,relevant
اساتذہ نے بہت محنت کی ہے، طلباء کا رزلٹ بہت اچھا آیا ہے۔,positive,education,Feedback,relevant
کیا موسم کی شدت کی وجہ سے آج اسکول بند رہے گا؟,neutral,education,Inquiry,relevant
یہ ایک بہترین تعلیمی ادارہ ہے، یہاں سیکھنے کا ماحول بہت پرسکون ہے۔,positive,education,Feedback,relevant
میرے بچے کو اسکول میں ہراساں کیا جا رہا ہے، اس پر فوری کارروائی ہونی چاہیے۔,negative,education,Complaint,relevant
تعلیم کی فراہمی کو مزید بہتر بنانے کے لیے ہمیں بہت سے اقدامات کرنے ہوں گے۔,neutral,education,Feedback,relevant
کیا آپ مجھے یونیورسٹی میں داخلے کے آخری تاریخ بتا سکتے ہیں؟,neutral,education,Inquiry,relevant
اسکول نے اس سال فیس میں بہت زیادہ اضافہ کر دیا ہے، یہ بہت مشکل ہے۔,negative,education,Complaint,relevant
ملک میں بڑھتی ہوئی آبادی پر قابو پانے کے لیے سنجیدہ اقدامات کی ضرورت ہے۔,negative,population,Complaint,relevant
کیا آپ مجھے آبادی کے کنٹرول کے حکومتی منصوبوں کے بارے میں بتا سکتے ہیں؟,neutral,population,Inquiry,relevant
ہمیں آبادی کے کنٹرول کے لیے شعور بیداری مہم چلانے کی ضرورت ہے۔,neutral,population,Request,relevant
پسماندہ علاقوں میں آبادی کے کنٹرول کے منصوبے بہت کامیاب رہے ہیں۔,positive,population,Feedback,relevant
آبادی کا کنٹرول معاشرتی خوشحالی کے لیے بہت اہم ہے۔,positive,population,Feedback,relevant
عوام کو چھوٹے خاندان کے فوائد کے بارے میں بتایا جانا چاہیے۔,neutral,population,Request,relevant
بڑھتی ہوئی آبادی کے باعث وسائل پر دباؤ بڑھ رہا ہے۔,negative,population,Complaint,relevant
کیا آپ بتائیں گے کہ آبادی کے کنٹرول کے لیے کون سی تدابیر اختیار کی گئی ہیں؟,neutral,population,Inquiry,relevant
حکومت کی طرف سے آبادی کے کنٹرول کے اقدامات قابل تعریف ہیں۔,positive,population,Feedback,relevant
اس سمینار میں جو معلومات دی گئی ہیں وہ بہت اہم اور مفید تھیں۔,positive,population,Feedback,relevant
یہ فلم بہت دلچسپ ہے، مجھے بہت مزہ آیا۔,positive,other,Feedback,irrelevant
کیا آپ مجھے بتا سکتے ہیں کہ یہ عمارت کب بنائی گئی تھی؟,neutral,other,Inquiry,irrelevant
میں ایک نیا فون خریدنا چاہتا ہوں، کیا آپ کوئی اچھا ماڈل تجویز کر سکتے ہیں؟,neutral,other,Request,irrelevant
آج موسم کیسا رہے گا؟,neutral,other,Inquiry,irrelevant
یہ ریستوران کا کھانا بالکل بے ذائقہ تھا، میں دوبارہ کبھی نہیں آؤں گا۔,negative,other,Feedback,irrelevant
مجھے پکنک کے لیے کوئی اچھی جگہ تلاش کرنے میں مدد درکار ہے۔,neutral,other,Request,irrelevant
یہ کتاب بہت معلوماتی تھی، میں نے بہت کچھ سیکھا۔,positive,other,Feedback,irrelevant
میں اس سروس سے بالکل بھی مطمئن نہیں ہوں، یہ بہت سست ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے اس جگہ کا راستہ بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
نیا میوزیم بہت خوبصورت بنایا گیا ہے، مجھے وہاں جانا اچھا لگا۔,positive,other,Feedback,irrelevant
یہ دوا بہت مؤثر ہے اور جلد آرام آ گیا ہے۔,positive,health,Feedback,relevant
ہسپتال میں صفائی کا انتظام بہت خراب ہے۔,negative,health,Complaint,relevant
کیا آپ مجھے شوگر ٹیسٹ کے لیے بہترین وقت بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
براہ کرم مجھے قریب ترین فارمیسی کا پتہ بتا دیجیے۔,neutral,health,Request,relevant
ڈاکٹر نے صحیح تشخیص کی اور علاج تجویز کیا، میں بہت شکر گزار ہوں۔,positive,health,Feedback,relevant
مجھے گردن میں شدید درد محسوس ہو رہا ہے۔,negative,health,Complaint,relevant
یہ کلینک بہت صاف ستھرا اور حفظان صحت کے اصولوں پر مبنی ہے۔,positive,health,Feedback,relevant
کیا مجھے روزانہ ورزش کرنی چاہیے؟,neutral,health,Inquiry,relevant
حکومتی پالیسیوں کی وجہ سے صحت کی سہولیات متاثر ہو رہی ہیں۔,negative,health,Complaint,relevant
براہ کرم مجھے بتائیں کہ ویکسین کہاں لگوائی جا سکتی ہے۔,neutral,health,Request,relevant
اس سال میٹرک کے امتحانات کے نتائج بہت حوصلہ افزا ہیں۔,positive,education,Feedback,relevant
اسکول میں سہولیات کی کمی پر طلباء نے شدید احتجاج کیا۔,negative,education,Complaint,relevant
کیا رواں سال داخلوں کی آخری تاریخ میں توسیع کی جائے گی؟,neutral,education,Inquiry,relevant
براہ کرم مجھے انٹرمیڈیٹ کے داخلے کے شیڈول کے بارے میں مطلع کریں۔,neutral,education,Request,relevant
ٹیچرز نے بہت محنت سے پڑھایا، طلباء کی کارکردگی بہتر ہوئی۔,positive,education,Feedback,relevant
یونیورسٹی انتظامیہ نے فیسوں میں اضافہ کر دیا ہے۔,negative,education,Complaint,relevant
یہ تعلیمی ادارہ معیار اور اخلاقیات کے لحاظ سے بہترین ہے۔,positive,education,Feedback,relevant
طلباء کے لیے آن لائن کلاسز کے کیا فوائد ہیں؟,neutral,education,Inquiry,relevant
اساتذہ کی کمی کی وجہ سے تدریسی عمل متاثر ہو رہا ہے۔,negative,education,Complaint,relevant
براہ کرم مجھے قریبی کالج میں داخلے کے طریقہ کار سے آگاہ کریں۔,neutral,education,Request,relevant
بڑھتی ہوئی آبادی ملک کے لیے ایک بڑا چیلنج ہے۔,negative,population,Feedback,relevant
حکومتی کوششوں سے آبادی کے کنٹرول میں بہتری آ رہی ہے۔,positive,population,Feedback,relevant
کیا شرح پیدائش میں کمی کے لیے کوئی نئے اقدامات کیے جا رہے ہیں؟,neutral,population,Inquiry,relevant
براہ کرم ہمیں آبادی کے کنٹرول کے بارے میں معلومات فراہم کریں۔,neutral,population,Request,relevant
آبادی کے غلط اعداد و شمار کی وجہ سے مسائل پیدا ہو رہے ہیں۔,negative,population,Complaint,relevant
شہری منصوبہ بندی میں آبادی کے رجحانات کو مدنظر رکھنا ضروری ہے۔,neutral,population,Feedback,relevant
یہ منصوبہ آبادی کے دباؤ کو کم کرنے میں مددگار ثابت ہوگا۔,positive,population,Feedback,relevant
کیا دیہی علاقوں سے شہری علاقوں کی طرف ہجرت میں اضافہ ہوا ہے؟,neutral,population,Inquiry,relevant
آبادی کے اضافے کی شرح غیر متناسب ہے۔,negative,population,Complaint,relevant
براہ کرم آبادی کے کنٹرول کے لیے حکومتی پروگرام کی تفصیلات بتائیں۔,neutral,population,Request,relevant
یہ موسم خزاں کا خوبصورت نظارہ ہے۔,positive,other,Feedback,irrelevant
میں نے اپنی گاڑی کی سروس کروانی ہے۔,neutral,other,Request,irrelevant
گزشتہ رات بہت تیز بارش ہوئی۔,neutral,other,Feedback,irrelevant
یہ فلم بہت دلچسپ ہے۔,positive,other,Feedback,irrelevant
مجھے نئی کتاب کی تلاش ہے۔,neutral,other,Request,irrelevant
شہر میں ٹریفک کا نظام بہت خراب ہے۔,negative,other,Complaint,irrelevant
کیا آپ کے پاس کوئی نئی خبر ہے؟,neutral,other,Inquiry,irrelevant
یہ ہوٹل بہت پرسکون اور آرام دہ ہے۔,positive,other,Feedback,irrelevant
مجھے جلد از جلد واپس آنا ہوگا۔,negative,other,Complaint,irrelevant
براہ کرم مجھے قریب ترین بس اسٹاپ کا راستہ بتائیں۔,neutral,other,Request,irrelevant
یہ ہسپتال میں ڈاکٹرز بہت تعاون کرتے ہیں۔,positive,health,Feedback,relevant
دواؤں کی قیمتوں میں مسلسل اضافہ ہو رہا ہے۔,negative,health,Complaint,relevant
براہ کرم مجھے نزدیکی کلینک کا پتہ بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
صحت کے بارے میں حکومتی پالیسیوں سے میں مطمئن ہوں۔,positive,health,Feedback,relevant
نیشنل ہسپتال میں صفائی ستھرائی کا فقدان ہے۔,negative,health,Complaint,relevant
کیا آپ مجھے ابتدائی طبی امداد کی تربیت کے بارے میں بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
میں حکومت سے مطالبہ کرتا ہوں کہ صحت کی سہولیات کو بہتر بنایا جائے۔,negative,health,Request,relevant
یہ ایک بہترین تجربہ تھا، ڈاکٹر بہت مددگار تھے۔,positive,health,Feedback,relevant
مجھے بخار اور کھانسی ہے، مجھے کونسی دوا لینی چاہیے؟,neutral,health,Inquiry,relevant
ہسپتال کا عملہ مریضوں سے بدتمیزی کرتا ہے۔,negative,health,Complaint,relevant
اسکولوں میں تعلیم کا معیار بہت گر گیا ہے۔,negative,education,Complaint,relevant
کیا نئے تعلیمی سال کے لیے داخلے شروع ہو گئے ہیں؟,neutral,education,Inquiry,relevant
یہ یونیورسٹی کا نصاب بہت عمدہ اور عصری ہے۔,positive,education,Feedback,relevant
میں درخواست کرتا ہوں کہ اساتذہ کی تنخواہوں میں اضافہ کیا جائے۔,positive,education,Request,relevant
میرے بچے کو اسکول میں کافی ہوم ورک دیا جا رہا ہے۔,negative,education,Complaint,relevant
کیا آپ مجھے آن لائن کورسز کے بارے میں معلومات دے سکتے ہیں؟,neutral,education,Inquiry,relevant
یہ ایک بہترین سکول ہے، اساتذہ بہت محنتی ہیں۔,positive,education,Feedback,relevant
مجھے اپنے بچے کے اسکول کے پرنسپل سے ملنا ہے۔,neutral,education,Request,relevant
اساتذہ کی لاپرواہی کی وجہ سے تعلیمی نظام تباہ ہو رہا ہے۔,negative,education,Complaint,relevant
یہ تربیتی پروگرام بہت معلوماتی تھا۔,positive,education,Feedback,relevant
ملک میں بڑھتی ہوئی آبادی تشویشناک ہے۔,negative,population,Complaint,relevant
کیا آبادی کے کنٹرول کے لیے کوئی نئے اقدامات کیے جا رہے ہیں؟,neutral,population,Inquiry,relevant
حکومت نے آبادی کے کنٹرول کے لیے ایک نئی مہم شروع کی ہے۔,positive,population,Feedback,relevant
میں آبادی کے کنٹرول کے قوانین پر عمل درآمد کا مطالبہ کرتا ہوں۔,negative,population,Request,relevant
یہ پروگرام آبادی کے بارے میں بہت اہم معلومات فراہم کرتا ہے۔,positive,population,Feedback,relevant
شہری علاقوں میں آبادی کا دباؤ زیادہ ہے۔,negative,population,Complaint,relevant
کیا آپ مجھے آبادی کے رجحانات کے بارے میں اعداد و شمار دے سکتے ہیں؟,neutral,population,Inquiry,relevant
یہ منصوبہ بندی آبادی کے کنٹرول میں مددگار ثابت ہوگی۔,positive,population,Feedback,relevant
ہمیں آبادی میں اضافے کو روکنے کے لیے سخت اقدامات کرنے کی ضرورت ہے۔,negative,population,Request,relevant
یہ ادارہ آبادی کے کنٹرول کے شعبے میں بہتر کام کر رہا ہے۔,positive,population,Feedback,relevant
آج موسم بہت خوشگوار ہے۔,positive,other,Feedback,irrelevant
یہ کتاب بہت دلچسپ ہے۔,positive,other,Feedback,irrelevant
ریل گاڑی وقت پر کیوں نہیں پہنچی؟,negative,other,Complaint,irrelevant
شہر میں ٹریفک کا نظام بہت خراب ہے۔,negative,other,Complaint,irrelevant
کیا آپ مجھے نیا فلم کا شو ٹائم بتا سکتے ہیں؟,neutral,other,Inquiry,irrelevant
میں پارٹی میں شرکت کے لیے دعوت نامہ بھیج رہا ہوں۔,neutral,other,Request,irrelevant
یہ فلم بہت اچھی تھی۔,positive,other,Feedback,irrelevant
میں نے کل رات ایک نیا ریستوران آزمایا۔,neutral,other,Feedback,irrelevant
یہ نیا قانون بہت پریشان کن ہے۔,negative,other,Complaint,irrelevant
براہ کرم مجھے پارک جانے کا راستہ بتا دیں۔,neutral,other,Inquiry,irrelevant
صحت کا خیال رکھنا بہت ضروری ہے، میں روزانہ ورزش کرتا ہوں۔,positive,health,Feedback,relevant
دواؤں کے مہنگے ہونے کی وجہ سے بہت سے لوگ علاج نہیں کروا پا رہے۔,negative,health,Complaint,relevant
کیا آپ مجھے قریبی کلینک کا پتہ بتا سکتے ہیں؟,neutral,health,Inquiry,relevant
مجھے بخار اور کھانسی ہے، براہ کرم کوئی دوا تجویز کریں۔,neutral,health,Request,relevant
یہ ہسپتال کا عملہ بہت محنتی اور فرض شناس ہے۔,positive,health,Feedback,relevant
بچوں کے لیے ویکسینیشن کے شیڈول میں کچھ تبدیلیاں کی گئی ہیں۔,neutral,health,Inquiry,relevant
میرا بلڈ پریشر کنٹرول میں نہیں آ رہا، مجھے بہت تشویش ہے۔,negative,health,Complaint,relevant
براہ کرم، مجھے شوگر ٹیسٹ کے نتائج کے بارے میں بتا دیجیے۔,neutral,health,Inquiry,relevant
اس دوا نے میرے درد کو فوراً کم کر دیا۔,positive,health,Feedback,relevant
ہسپتال میں صفائی کا انتظام بہت خراب ہے۔,negative,health,Complaint,relevant
اسکول میں داخلے کے لیے درخواست جمع کروانی ہے۔,neutral,education,Request,relevant
تعلیمی نظام میں اصلاحات کی اشد ضرورت ہے۔,negative,education,Complaint,relevant
کیا اس سال میٹرک کے امتحانات وقت پر ہوں گے؟,neutral,education,Inquiry,relevant
میرے بچے کی کارکردگی اساتذہ کی وجہ سے بہت بہتر ہوئی ہے۔,positive,education,Feedback,relevant
میں نے اپنے بچے کے داخلے کے لیے آن لائن فارم بھرا ہے۔,neutral,education,Request,relevant
اسکول کی لائبریری میں کتابوں کا انتخاب بہت اچھا ہے۔,positive,education,Feedback,relevant
